time	signal1	signal2	signal3	subtr1	subtr2	subtr3
25.421	2.94358	0.1361	-0.00875	1.7620399999999998	0.5519000000000001	0.33944
25.432	2.81585	0.09577	-0.01528	1.6310200000000001	0.50761	0.32986
25.443	2.70091	0.0568	-0.01501	1.51521	0.48798	0.33153
25.454	2.60144	0.05399	-0.01895	1.4166500000000002	0.49498	0.32858
25.465	2.51608	0.05106	-0.03328	1.33033	0.48829	0.31349000000000005
25.476	2.44472	0.03803	-0.0499	1.2606299999999997	0.46651000000000004	0.29434
25.487	2.38626	0.02684	-0.05382	1.20432	0.44605	0.28421
25.498	2.34163	0.01876	-0.04257	1.16082	0.45168	0.30013
25.509	2.30714	0.01672	-0.0402	1.12763	0.46371	0.3071
25.52	2.28238	0.0126	-0.03764	1.1020199999999998	0.46305	0.30778
25.531	2.2683	0.0029	-0.03165	1.0896299999999999	0.45106	0.32261999999999996
25.542	2.26064	-0.00192	-0.03665	1.08396	0.42952	0.32108
25.553	2.25906	0.00577	-0.04822	1.0810399999999998	0.44457	0.30899000000000004
25.564	2.26257	0.01139	-0.06459	1.0842600000000002	0.45380000000000004	0.28968
25.575	2.2687	0.01836	-0.07331	1.0937999999999999	0.46349999999999997	0.27033
25.586	2.27403	-0.00282	-0.0702	1.1017500000000002	0.44254	0.26180000000000003
25.597	2.27899	-0.01359	-0.06739	1.1051099999999998	0.43509000000000003	0.2733
25.608	2.2876	-0.01238	-0.05892	1.11597	0.42683	0.29252999999999996
25.619	2.29595	0.01295	-0.05447	1.12431	0.43721000000000004	0.30129
25.63	2.30153	0.02749	-0.05285	1.1312	0.44163	0.29517
25.641	2.30761	0.012	-0.05432	1.14031	0.42566000000000004	0.28485000000000005
25.652	2.31409	0.00025	-0.05138	1.1478200000000003	0.43481	0.29128000000000004
25.663	2.32221	0.02071	-0.05075	1.1573200000000001	0.43374	0.29785
25.674	2.32936	0.02445	-0.02934	1.1672699999999998	0.43091	0.32804
25.685	2.33781	0.00776	-0.02345	1.1762400000000002	0.43922	0.34109999999999996
